Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P5 - Delta Cptot,P8 - DSP [Pa],P9 - DSPtot [Pa],P10 - USP [Pa],P11 - USPtot [Pa]
DP 102,969.99999999999989,0.28,0.1815,3.68507,1.1367,0.653182,2.99242,2.49572,3.56077
DP 103,130,0.65333333333333332,0.1925,8.38461,5.63265,3.54951,5.99356,7.74182,8.80988
DP 104,190,0.33333333333333337,0.20350000000000001,6.80263,4.07627,2.47761,4.90807,5.87892,6.9462
DP 105,250.00000000000003,0.8666666666666667,0.21450000000000002,6.01729,3.31443,1.92857,4.34668,4.93721,6.00389
DP 106,489.99999999999994,0.49333333333333335,0.2255,4.52338,1.90192,1.10235,3.47863,3.36404,4.42959
DP 107,550,0.54666666666666663,0.2365,4.34621,1.73879,1.00831,3.37744,3.18141,4.24683
DP 108,370,0.38666666666666671,0.2475,5.03643,2.38035,1.37997,3.77399,3.89819,4.96416
DP 109,610,0.81333333333333324,0.2585,4.24128,1.64156,0.92592,3.29108,3.04656,4.11186
DP 110,790,0.60000000000000009,0.2695,3.88685,1.32133,0.765954,3.11396,2.70938,3.77462
DP 111,430,0.44,0.28049999999999997,4.77897,2.13831,1.21835,3.60446,3.60784,4.67361
DP 112,909.99999999999989,0.76,0.2915,3.78006,1.22336,0.68873,3.03228,2.57876,3.64396
DP 113,670,0.91999999999999993,0.3025,4.2088,1.60714,0.846651,3.21261,2.95105,4.01618
DP 114,730,0.22666666666666668,0.3135,3.99024,1.41221,0.810115,3.16427,2.80524,3.87037
DP 115,310,0.70666666666666678,0.3245,5.63624,2.9431,1.57829,3.99114,4.39641,5.46269
